imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code
LZ_natural\LZ_natural_72.jpg,LZ_natural\LZ_natural_149.jpg,LZ_natural\LZ_natural_52.jpg,LZ_natural\LZ_natural_74.jpg,LZ_natural\LZ_natural_181.jpg,LZ_natural\LZ_natural_56.jpg,LZ_natural\LZ_natural_98.jpg,LZ_natural\LZ_natural_47.jpg,,,,,,,,,2,LZ_natural\LZ_natural_52.jpg,1,a,1,12
LZ_scrambled\LZ_scrambled_188.jpg,LZ_scrambled\LZ_scrambled_170.jpg,LZ_scrambled\LZ_scrambled_157.jpg,LZ_scrambled\LZ_scrambled_78.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_157.jpg,1,a,2,21
LZ_scrambled\LZ_scrambled_23.jpg,LZ_scrambled\LZ_scrambled_33.jpg,LZ_scrambled\LZ_scrambled_176.jpg,LZ_scrambled\LZ_scrambled_209.jpg,LZ_scrambled\LZ_scrambled_141.jpg,LZ_scrambled\LZ_scrambled_219.jpg,LZ_scrambled\LZ_scrambled_231.jpg,LZ_scrambled\LZ_scrambled_91.jpg,,,,,,,,,2,LZ_scrambled\LZ_scrambled_33.jpg,1,a,2,22
LZ_noise\LZ_noise_100.jpg,LZ_noise\LZ_noise_197.jpg,LZ_noise\LZ_noise_105.jpg,LZ_noise\LZ_noise_1.jpg,LZ_noise\LZ_noise_223.jpg,LZ_noise\LZ_noise_161.jpg,LZ_noise\LZ_noise_104.jpg,LZ_noise\LZ_noise_111.jpg,,,,,,,,,2,LZ_noise\LZ_noise_230.jpg,0,l,3,32
LZ_noise\LZ_noise_127.jpg,LZ_noise\LZ_noise_61.jpg,LZ_noise\LZ_noise_48.jpg,LZ_noise\LZ_noise_41.jpg,LZ_noise\LZ_noise_139.jpg,LZ_noise\LZ_noise_208.jpg,LZ_noise\LZ_noise_134.jpg,LZ_noise\LZ_noise_152.jpg,LZ_noise\LZ_noise_174.jpg,LZ_noise\LZ_noise_145.jpg,LZ_noise\LZ_noise_172.jpg,LZ_noise\LZ_noise_98.jpg,,,,,3,LZ_noise\LZ_noise_41.jpg,1,a,3,33
LZ_noise\LZ_noise_183.jpg,LZ_noise\LZ_noise_37.jpg,LZ_noise\LZ_noise_88.jpg,LZ_noise\LZ_noise_79.jpg,LZ_noise\LZ_noise_8.jpg,LZ_noise\LZ_noise_24.jpg,LZ_noise\LZ_noise_180.jpg,LZ_noise\LZ_noise_63.jpg,,,,,,,,,2,LZ_noise\LZ_noise_183.jpg,1,a,3,32
LZ_natural\LZ_natural_38.jpg,LZ_natural\LZ_natural_68.jpg,LZ_natural\LZ_natural_133.jpg,LZ_natural\LZ_natural_205.jpg,LZ_natural\LZ_natural_199.jpg,LZ_natural\LZ_natural_51.jpg,LZ_natural\LZ_natural_116.jpg,LZ_natural\LZ_natural_142.jpg,LZ_natural\LZ_natural_187.jpg,LZ_natural\LZ_natural_152.jpg,LZ_natural\LZ_natural_69.jpg,LZ_natural\LZ_natural_185.jpg,,,,,3,LZ_natural\LZ_natural_127.jpg,0,l,1,13
LZ_scrambled\LZ_scrambled_94.jpg,LZ_scrambled\LZ_scrambled_224.jpg,LZ_scrambled\LZ_scrambled_154.jpg,LZ_scrambled\LZ_scrambled_185.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_81.jpg,0,l,2,21
LZ_noise\LZ_noise_144.jpg,LZ_noise\LZ_noise_239.jpg,LZ_noise\LZ_noise_160.jpg,LZ_noise\LZ_noise_4.jpg,LZ_noise\LZ_noise_97.jpg,LZ_noise\LZ_noise_185.jpg,LZ_noise\LZ_noise_220.jpg,LZ_noise\LZ_noise_103.jpg,,,,,,,,,2,LZ_noise\LZ_noise_239.jpg,1,a,3,32
LZ_natural\LZ_natural_240.jpg,LZ_natural\LZ_natural_16.jpg,LZ_natural\LZ_natural_18.jpg,LZ_natural\LZ_natural_45.jpg,,,,,,,,,,,,,1,LZ_natural\LZ_natural_91.jpg,0,l,1,11
LZ_natural\LZ_natural_138.jpg,LZ_natural\LZ_natural_33.jpg,LZ_natural\LZ_natural_158.jpg,LZ_natural\LZ_natural_217.jpg,LZ_natural\LZ_natural_49.jpg,LZ_natural\LZ_natural_27.jpg,LZ_natural\LZ_natural_156.jpg,LZ_natural\LZ_natural_153.jpg,,,,,,,,,2,LZ_natural\LZ_natural_4.jpg,0,l,1,12
LZ_scrambled\LZ_scrambled_64.jpg,LZ_scrambled\LZ_scrambled_82.jpg,LZ_scrambled\LZ_scrambled_53.jpg,LZ_scrambled\LZ_scrambled_75.jpg,LZ_scrambled\LZ_scrambled_173.jpg,LZ_scrambled\LZ_scrambled_206.jpg,LZ_scrambled\LZ_scrambled_236.jpg,LZ_scrambled\LZ_scrambled_17.jpg,,,,,,,,,2,LZ_scrambled\LZ_scrambled_64.jpg,1,a,2,22
LZ_scrambled\LZ_scrambled_32.jpg,LZ_scrambled\LZ_scrambled_72.jpg,LZ_scrambled\LZ_scrambled_89.jpg,LZ_scrambled\LZ_scrambled_213.jpg,LZ_scrambled\LZ_scrambled_24.jpg,LZ_scrambled\LZ_scrambled_212.jpg,LZ_scrambled\LZ_scrambled_159.jpg,LZ_scrambled\LZ_scrambled_74.jpg,LZ_scrambled\LZ_scrambled_1.jpg,LZ_scrambled\LZ_scrambled_125.jpg,LZ_scrambled\LZ_scrambled_111.jpg,LZ_scrambled\LZ_scrambled_43.jpg,,,,,3,LZ_scrambled\LZ_scrambled_103.jpg,0,l,2,23
LZ_noise\LZ_noise_99.jpg,LZ_noise\LZ_noise_168.jpg,LZ_noise\LZ_noise_189.jpg,LZ_noise\LZ_noise_154.jpg,LZ_noise\LZ_noise_96.jpg,LZ_noise\LZ_noise_229.jpg,LZ_noise\LZ_noise_227.jpg,LZ_noise\LZ_noise_43.jpg,,,,,,,,,2,LZ_noise\LZ_noise_119.jpg,0,l,3,32
LZ_scrambled\LZ_scrambled_119.jpg,LZ_scrambled\LZ_scrambled_112.jpg,LZ_scrambled\LZ_scrambled_153.jpg,LZ_scrambled\LZ_scrambled_14.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_153.jpg,1,a,2,21
